ID,Name,Type,Difficulty,Links
0,Indian Step,Toprock,1,1 7 17
1,Hip Twist,Toprock,1,0 7 17
2,6-Step,Footwork,1,2 3 4 5 9 10 11 14
3,3-Step,Footwork,1,2 3 4 5 8 9 10 11 14 17
4,CC,Footwork,1,2 3 4 6 8 9 10 11 12 14
5,Baby Freeze,Freeze,2,12 13
6,Swipe,Power,3,5 15 17
7,Sidestep,Toprock,1,1 0 17
8,2-Step,Footwork,2,3 4 2 6 5 17
9,Coffee Grinder (Floor),Footwork,1,5 12 6 15 11
10,Kickout,Footwork,1,2 3 4 8 9 10 11 14 17
11,Hooks,Footwork,2,2 3 4 8 9 10 11 5 12
12,Chair Freeze,Freeze,2,5
13,Headstand,Freeze,2,15 16 5
14,12-Step,Footwork,1,2 3 4 5 12
15,Windmill,Power,3,5 12
16,Headspin,Power,3,13 15 5
17,Nike Freeze,Freeze,3,-1
18,Knee Drop,Go-Down,1,-1
19,Corkscrew,Go-Down,1,-1
20,Coffee Grinder (Get Down),Go-Down,2,-1
